name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Madagascar,2021-11-04,32,17,23.9,30.4,17,23.5,15.3,65.5,4,100,4.17,rain,0,0,27,13,104.8,1019.5,57.4,11.5,290.4,25.1,10,,2021-11-04T05:08:07,2021-11-04T17:59:01,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"67083099999,FMMI"
Madagascar,2021-11-05,32,17,23.2,31,17,23.1,16.3,69.6,0,0,0,,0,0,47.9,25.9,135.2,1019.3,37.9,9.1,323.3,27.9,10,,2021-11-05T05:07:40,2021-11-05T17:59:30,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-06,28,17,21.9,27.8,17,21.9,15.5,70.5,0,0,0,,0,0,37.4,25.9,103.9,1019.1,66.3,12,252.4,21.8,9,,2021-11-06T05:07:16,2021-11-06T17:59:59,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-07,30,18,22.2,30,18,22.2,15.7,68.7,0,0,0,,0,0,28.1,25.9,104.1,1019.1,70.5,12.6,232.3,20,9,,2021-11-07T05:06:52,2021-11-07T18:00:29,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-08,31,17,22.9,29.5,17,22.6,14.3,63.7,0,0,0,,0,0,32,24.1,94.9,1019.4,49.7,12.7,328.5,28.4,10,,2021-11-08T05:06:29,2021-11-08T18:00:59,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-09,32,15,23.2,30.6,15,22.9,14.7,65.3,0,0,0,,0,0,34.9,26.8,106.1,1020.6,47.3,11.2,296.3,25.7,9,,2021-11-09T05:06:08,2021-11-09T18:01:30,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-10,33,18,24.3,32.3,18,24.2,16.5,66.5,0,0,0,,0,0,37.1,21.4,103.3,1019.9,61.1,10.4,317.9,27.5,10,,2021-11-10T05:05:47,2021-11-10T18:02:02,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-11,32,18,24.2,30,18,23.8,13.9,59.1,0,0,0,,0,0,33.5,18.4,118.1,1017.8,43.3,9.8,323.1,27.9,10,,2021-11-11T05:05:28,2021-11-11T18:02:34,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-12,30,16,22.6,29,16,22.4,14.4,64.3,0,0,0,,0,0,35.6,22.3,105.8,1018.3,34,10.7,338.3,29.3,10,,2021-11-12T05:05:11,2021-11-12T18:03:06,0.26,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"67083099999,FMMI"
Madagascar,2021-11-13,32,17,23,30.1,17,22.7,13.7,61.7,0,0,0,,0,0,35.6,31.4,96.1,1019.8,47.6,11.1,342.8,29.6,10,,2021-11-13T05:04:54,2021-11-13T18:03:39,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"67083099999,FMMI"
